code;instant;source;description;target
6074;2015-02-12 00:00:00.000;K92922201T;"SITEL MOBILE SHPK - ELBASAN - ";M1
6075;2015-02-14 00:00:00.000;K63026404B;"KOMBI SHPK - FIER - ";
6082;2015-02-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6083;2015-02-01 00:00:00.000;K36608208V;"COLOMBO SHPK - TIRANE - ";
6084;2015-02-27 00:00:00.000;J97426201K;"FJORTES.shpk...Karburant - VLORE - ";M1
6085;2015-02-28 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6086;2015-02-28 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6091;2015-03-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6092;2015-03-05 00:00:00.000;;"PANASONIC MARKETING EUROPE GMBH -  - ";M1
6093;2015-03-10 00:00:00.000;J61826508M;"AL MAR SHPK - DURRES - ";
6076;2015-02-01 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6077;2015-02-01 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6078;2015-02-16 00:00:00.000;L04820001N;"DAISY & ETM  PAJISJE FISKALE - KORCE - ";
6079;2015-02-24 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6080;2015-02-28 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6081;2015-02-28 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
6089;2015-02-25 00:00:00.000;J92305001S;"LINDA SHPK - TIRANE - ";
6090;2015-02-28 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
6094;2015-03-10 00:00:00.000;K91410043U;"GENIAL SHPK - TIRANE - ";
6095;2015-03-13 00:00:00.000;K36309201H;"BLU STAR  SHPK - VLORE - ";M1
6096;2015-03-14 00:00:00.000;it00693740;"INDESIT COMPANY - ITALI, Viale aristide merloni  - ";M1
6097;2015-03-14 00:00:00.000;;"BENTY. s.r.l - ITALI - ";M1
6098;2015-03-14 00:00:00.000;;"ELTRONIC S.R.L (DCG) -  - ";M1
6099;2015-03-14 00:00:00.000;;"TREVIDEA SRL - ITALI - ";M1
6100;2015-03-14 00:00:00.000;;"MULTIPROGET SRL - VIA CASONETTO 16 36050  - ";M1
6101;2015-03-14 00:00:00.000;;"TREVI SPA - ITALI - ";M1
6102;2015-03-14 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
6103;2015-03-14 00:00:00.000;;"GO VAR S.R.L - ITALI - ";M1
6146;2015-04-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6147;2015-04-01 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6148;2015-04-02 00:00:00.000;L01626012A;"ORBICO SHPK - TIRANE - ";M1
6149;2015-04-02 00:00:00.000;L01626012A;"ORBICO SHPK - TIRANE - ";M1
6150;2015-04-02 00:00:00.000;L01626012A;"ORBICO SHPK - TIRANE - ";M1
6104;2015-03-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6105;2015-03-03 00:00:00.000;J62903255K;"KRELA SHPK - ELBASAN - ";
6106;2015-03-03 00:00:00.000;;"DRRMSH VLORE - VLORE - ";
6107;2015-03-16 00:00:00.000;K33020403G;"GEMAKLER SHPK - TIRANE - ";M1
6108;2015-03-17 00:00:00.000;;"TRANSALBANIA SHPK -  - ";
6109;2015-03-17 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6110;2015-03-17 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6111;2015-03-18 00:00:00.000;;"NINGBO HANDIAN ELECTRIC APPLIANCE KAIFENG. - GUANHAIWEI EAST INDUSTRIAL - ";M1
6112;2015-03-19 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6113;2015-03-17 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6114;2015-03-17 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6115;2015-03-17 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6116;2015-03-20 00:00:00.000;;"NINGBO JINLONG ELECTRIC APPLIANCE CO.,LTD - KINE, No 188 tanjialing east  - ";M1
6117;2015-03-20 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6118;2015-03-23 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6119;2015-03-19 00:00:00.000;;"OZMARMARA - TURQI - ";
6120;2015-03-24 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
6121;2015-03-24 00:00:00.000;;"VESTEL TICARET - TURQI - ";M1
6122;2015-03-25 00:00:00.000;J61820040I;"DHL EXPRESS - TIRANE - ";
6123;2015-03-25 00:00:00.000;;"BASHKIA VLORE - VLORE - ";
6124;2015-03-27 00:00:00.000;;"TECHNOMARKET BULGARIA - BULLGARI - ";M1
6125;2015-03-29 00:00:00.000;;"NUOVA CLEAN SRL - ITALI - ";M1
6126;2015-03-29 00:00:00.000;;"NECCHI SPA - ITALI - ";M1
6127;2015-03-29 00:00:00.000;;"MULTIPROGET SRL - VIA CASONETTO 16 36050  - ";M1
6128;2015-03-29 00:00:00.000;;"TREVI SPA - ITALI - ";M1
6129;2015-03-29 00:00:00.000;;"TREVIDEA SRL - ITALI - ";M1
6130;2015-03-29 00:00:00.000;;"GO VAR S.R.L - ITALI - ";M1
6131;2015-03-29 00:00:00.000;;"ELICA SPA   ARIA NUOVA - ITALI - ";M1
6132;2015-03-29 00:00:00.000;;"ALEAMA S.R.L - ITALI - ";M1
6133;2015-03-30 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6134;2015-03-31 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
6135;2015-03-31 00:00:00.000;;"BASHKIA VLORE - VLORE - ";
6136;2015-03-25 00:00:00.000;;"NANSI 200 LTD - BULLGARI - ";
6151;2015-04-04 00:00:00.000;;"ELICA SPA   ARIA NUOVA - ITALI - ";M1
6152;2015-04-09 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6153;2015-04-13 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6154;2015-04-17 00:00:00.000;K91808502Q;"MERJA OUTLET SHPK - DURRES - ";M1
6155;2015-04-20 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6156;2015-04-23 00:00:00.000;it00693740;"INDESIT COMPANY - ITALI, Viale aristide merloni  - ";M1
6157;2015-04-23 00:00:00.000;;"TECNOWIND  S.P.A - ITALI, Via piani di marischio, - ";M1
6159;2015-04-30 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6160;2015-04-04 00:00:00.000;J61820040I;"DHL EXPRESS - TIRANE - ";
6161;2015-04-22 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6162;2015-04-23 00:00:00.000;L01626012A;"ORBICO SHPK - TIRANE - ";M1
6163;2015-04-27 00:00:00.000;J97426201K;"FJORTES.shpk - VLORE - ";
6164;2015-04-28 00:00:00.000;;"SAMSUNG ELECTRONICS  - AUSTRIA - ";M1
6137;2015-03-31 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6138;2015-03-07 00:00:00.000;K86526204M;"LUCIANA LASKA - VLORE - ";
6139;2015-03-12 00:00:00.000;K86526204M;"A.A.R SHPK  PANDELI RAJOHO - FIER - ";
6140;2015-03-31 00:00:00.000;J97426201K;"FJORTES.shpk - VLORE - ";M1
6141;2015-03-31 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
6144;2015-03-31 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6145;2015-03-31 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6158;2015-04-20 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6165;2015-04-29 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6166;2015-04-01 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6167;2015-04-01 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6168;2015-04-30 00:00:00.000;J61824053N;"EAGLE MOBILE SHA - TIRANE - ";
6169;2015-04-27 00:00:00.000;K31602028G;"ARBEN MALI - TIRANE - ";
6170;2015-04-30 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
6171;2015-04-30 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
6172;2015-04-30 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6173;2015-04-30 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6233;2015-06-01 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6234;2015-06-01 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6235;2015-06-01 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6236;2015-06-01 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6237;2015-06-01 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6238;2015-06-01 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6174;2015-05-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6175;2015-05-02 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6176;2015-05-02 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6177;2015-05-02 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6178;2015-05-03 00:00:00.000;;"BENTY. s.r.l - ITALI - ";M1
6179;2015-05-03 00:00:00.000;;"ELICA SPA   ARIA NUOVA - ITALI - ";M1
6180;2015-05-03 00:00:00.000;it00693740;"INDESIT COMPANY - ITALI, Viale aristide merloni  - ";M1
6181;2015-05-03 00:00:00.000;;"HISENSE ITALIA SRL - ITALI - ";M1
6182;2015-05-03 00:00:00.000;;"SMEG - 42016 GUASTELLA RE - ";M1
6183;2015-05-03 00:00:00.000;;"ALEAMA S.R.L - ITALI - ";M1
6184;2015-05-03 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
6185;2015-05-03 00:00:00.000;;"TREVI SPA - ITALI - ";M1
6186;2015-05-03 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
6187;2015-05-07 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6188;2015-05-08 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6189;2015-05-08 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6190;2015-05-08 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6191;2015-05-09 00:00:00.000;;"NINGBO HANDIAN ELECTRIC APPLIANCE KAIFENG. - GUANHAIWEI EAST INDUSTRIAL - ";M1
6192;2015-05-11 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6193;2015-05-11 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6194;2015-05-11 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6195;2015-05-11 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6196;2015-05-12 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6197;2015-05-12 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6198;2015-05-12 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6199;2015-05-13 00:00:00.000;;"GUANGDONG GALANZ MICROWAVE OVEN - KINE - ";M1
6200;2015-05-14 00:00:00.000;;"PANASONIC MARKETING EUROPE GMBH -  - ";M1
6201;2015-05-15 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6202;2015-05-15 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6203;2015-05-15 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6204;2015-05-16 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6205;2015-05-16 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6207;2015-05-04 00:00:00.000;J62903255K;"KRELA SHPK - ELBASAN - ";
6208;2015-05-04 00:00:00.000;J62904311H;"HARD & SOFT PROFESIONAL SHPK - ELBASAN - ";
6209;2015-05-15 00:00:00.000;J62904311H;"HARD & SOFT PROFESIONAL SHPK - ELBASAN - ";
6210;2015-05-19 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6211;2015-05-20 00:00:00.000;K33020403G;"GEMAKLER SHPK - TIRANE - ";M1
6212;2015-05-20 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
6213;2015-05-20 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
6214;2015-05-21 00:00:00.000;L22320101A;"CAGATAY LOGISTICS ALBANIA - TIRANE - ";
6215;2015-05-07 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6216;2015-05-07 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6217;2015-05-07 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6218;2015-05-09 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6219;2015-05-09 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6206;2015-05-31 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6220;2015-05-09 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6221;2015-05-20 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6222;2015-05-20 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6223;2015-05-20 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6224;2015-05-22 00:00:00.000;;"NINGBO HANDIAN ELECTRIC APPLIANCE KAIFENG. - GUANHAIWEI EAST INDUSTRIAL - ";M1
6225;2015-05-23 00:00:00.000;J62904311H;"HARD & SOFT PROFESIONAL SHPK - ELBASAN - ";
6226;2015-05-26 00:00:00.000;J97426229T;"SALATI SHPK - VLORE - ";
6227;2015-05-26 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
6228;2015-05-30 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
6229;2015-05-31 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
6230;2015-05-31 00:00:00.000;J97426201K;"FJORTES.shpk - VLORE - ";
6231;2015-05-31 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6232;2015-05-31 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6239;2015-06-03 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6240;2015-06-03 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6241;2015-06-11 00:00:00.000;J61820040I;"DHL EXPRESS - TIRANE - ";
6242;2015-06-11 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";
6243;2015-06-15 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
6244;2015-06-09 00:00:00.000;;"OZMARMARA - TURQI - ";
6245;2015-06-15 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6246;2015-06-15 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6247;2015-06-15 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6248;2015-06-15 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6249;2015-06-15 00:00:00.000;;"BENTY. s.r.l - ITALI - ";M1
6250;2015-06-10 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6251;2015-06-04 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6252;2015-06-04 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6253;2015-06-04 00:00:00.000;;"SHENZEN KAVBAO HOUSEHOLD COMMODITY CO.LTD - KINE - ";M1
6254;2015-06-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6255;2015-06-01 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6256;2015-06-15 00:00:00.000;;"BARAZZA SRL - ITALI - ";M1
6257;2015-06-15 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
6258;2015-06-02 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
6259;2015-06-02 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
6302;2015-06-30 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6303;2015-06-30 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6304;2015-06-01 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6305;2015-06-01 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6306;2015-07-02 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6307;2015-07-03 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
6308;2015-07-02 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6309;2015-07-02 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6310;2015-07-06 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6311;2015-07-06 00:00:00.000;;"PANASONIC MARKETING EUROPE GMBH -  - ";M1
6260;2015-06-15 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
6261;2015-06-15 00:00:00.000;;"FABITA...MOSAT S.r.l - ITALI,    Loc. Campo d""Olmo,   - ";M1
6262;2015-06-15 00:00:00.000;;"TECNOWIND  S.P.A - ITALI, Via piani di marischio, - ";M1
6263;2015-06-15 00:00:00.000;;"NUOVA CLEAN SRL - ITALI - ";M1
6264;2015-06-15 00:00:00.000;;"SMEG - 42016 GUASTELLA RE - ";M1
6265;2015-06-15 00:00:00.000;;"ELTRONIC S.R.L (DCG) -  - ";M1
6266;2015-06-18 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6267;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6268;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6269;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6270;2015-06-18 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6271;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6272;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6273;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6274;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6275;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6276;2015-06-19 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6277;2015-06-20 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
6278;2015-06-19 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6279;2015-06-19 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6280;2015-06-22 00:00:00.000;;"NINGBO CHANGER ELECTRON CO - KINE - ";M1
6312;2015-07-09 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6313;2015-07-14 00:00:00.000;K92922201T;"SITEL MOBILE SHPK - ELBASAN - ";M1
6281;2015-06-12 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6282;2015-06-19 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6283;2015-06-19 00:00:00.000;J61824038Q;"TRANSALBANIA SHPK - TIRANE - ";
6284;2015-06-24 00:00:00.000;K33020403G;"GEMAKLER SHPK - TIRANE - ";M1
6285;2015-06-25 00:00:00.000;;"HOMA APPLIANCES CO LTD -  - ";M1
6286;2015-06-26 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6287;2015-06-26 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6288;2015-06-25 00:00:00.000;L36518201N;"A.M.L SHPK - VLORE - ";
6289;2015-06-26 00:00:00.000;;"NINGBO HANDIAN ELECTRIC APPLIANCE KAIFENG. - GUANHAIWEI EAST INDUSTRIAL - ";M1
6290;2015-06-23 00:00:00.000;;"OZMARMARA - TURQI - ";
6291;2015-06-26 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
6292;2015-06-26 00:00:00.000;J92305001S;"LINDA SHPK - TIRANE - ";
6293;2015-06-29 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
6294;2015-06-29 00:00:00.000;;"ELICA SPA   ARIA NUOVA - ITALI - ";M1
6295;2015-06-27 00:00:00.000;;"OZMARMARA - TURQI - ";
6296;2015-06-30 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
6297;2015-06-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6298;2015-06-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6299;2015-06-03 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
6300;2015-06-26 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6301;2015-06-30 00:00:00.000;J97426201K;"FJORTES.shpk - VLORE - ";
6314;2015-07-15 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
